,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
31,NZL,2905.0,6.890558928369486e-10,5.627710761923721e-10
32,NZL,2907.0,2.2961056458188126e-09,1.6155205175313455e-09
33,NZL,2913.0,1.204829517226462e-07,1.0794337538957367e-07
34,NZL,2918.0,1.0806341404539176e-08,8.363003869805636e-09
35,NZL,2919.0,2.2375427365762923e-09,1.7316294076164255e-09
37,BGD,946.0,1.858503885739586e-07,1.6604936917509994e-07
38,BGD,960.0,3.6056909695401216e-08,3.204292127147392e-08
39,BGD,976.0,7.726340391732678e-08,6.903154510052359e-08
40,BGD,1016.0,3.709685949653444e-08,3.314445649020283e-08
41,BGD,1052.0,1.710404946148885e-08,1.5281736267609233e-08
42,BGD,1053.0,9.295540844858858e-09,8.305167964800624e-09
43,BGD,2511.0,2.593939756946857e-10,2.3238036806295572e-10
44,BGD,2514.0,2.1064844850205906e-10,1.8871126001945125e-10
45,BGD,2555.0,2.8059298162371765e-10,2.3955810113638927e-10
46,BGD,2731.0,6.01430221074551e-08,5.373521657853746e-08
47,BGD,2735.0,8.188079687908897e-09,7.315698812174732e-09
48,BGD,2805.0,9.713289072604406e-10,8.70173520317396e-10
49,BGD,2903.0,5.018213427434796e-10,4.2843326758098694e-10
50,BGD,2905.0,3.3613384264680925e-11,3.011284508959452e-11
51,BGD,2907.0,4.215008146360699e-10,3.2205321345041303e-10
53,BGD,2913.0,3.574690724976039e-10,3.051915686806112e-10
54,BGD,2918.0,1.7838014460395356e-09,1.2394470211337392e-09
55,BGD,2919.0,1.3311951924355537e-09,9.249605215171649e-10
57,IND,946.0,6.957545770322876e-09,6.2162694145202274e-09
