,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
1638,CMR,2918.0,1.4366151486203423e-11,9.883531101966417e-12
1639,CMR,2919.0,1.2841997617254619e-12,8.834953674504043e-13
1641,COG,960.0,2.4921038594808676e-09,2.1566089086892616e-09
1642,COG,976.0,2.4191272186567797e-08,2.0463600094216406e-08
1643,COG,1016.0,3.948147662546008e-08,3.339771230556335e-08
1644,COG,1049.0,2.024785751561905e-09,1.7127832540959417e-09
1645,COG,1052.0,1.6639143060864185e-09,1.4075190708533362e-09
1646,COG,1053.0,8.927646421965957e-10,7.551971006432349e-10
1647,COG,2514.0,6.320141639257386e-11,5.688580786524059e-11
1648,COG,2731.0,3.20785787642665e-08,2.7135538898498382e-08
1649,COG,2735.0,1.2878467950283872e-12,1.0894004082477422e-12
1650,COG,2805.0,9.624891793909214e-10,8.663092958410087e-10
1651,COG,2903.0,2.297953053232228e-12,1.9609723503798007e-12
1653,COG,2907.0,2.3060796894884177e-14,1.7395649777060175e-14
1655,COG,2913.0,7.271366423122823e-14,6.205065192766988e-14
1656,COG,2918.0,7.428267829185299e-13,5.110451201492354e-13
1657,COG,2919.0,3.622392776432979e-13,2.492110131498781e-13
1659,CPV,960.0,4.131311024819186e-09,3.575140789897573e-09
1660,CPV,976.0,2.38733087981305e-08,2.0194632196397633e-08
1661,CPV,1016.0,6.565665171993867e-09,5.553951251344644e-09
1662,CPV,1049.0,5.556354839188162e-10,4.700167173260291e-10
1663,CPV,1052.0,7.779098174963564e-10,6.580404408598751e-10
1664,CPV,1053.0,3.43035432030891e-09,2.90176549835383e-09
1665,CPV,2514.0,3.851320171261179e-10,3.466464389485287e-10
1666,CPV,2731.0,1.0560392149942359e-08,8.93312431557503e-09
1667,CPV,2903.0,4.297620036263868e-11,3.667400450891635e-11
1668,CPV,2907.0,2.7196366311043378e-11,2.051526951614153e-11
1670,CPV,2913.0,3.202494745676077e-11,2.7328685586827477e-11
1671,CPV,2918.0,1.6145976052660434e-10,1.110800318661033e-10
1672,CPV,2919.0,1.1415332696248197e-10,7.853446056935562e-11
1674,ETH,960.0,1.2953392085463683e-08,1.1209565228583692e-08
1675,ETH,976.0,2.2624656929169314e-08,1.9138387104934223e-08
1676,ETH,1016.0,3.6130615609148245e-08,3.056319085996617e-08
1677,ETH,1049.0,1.7431654550359316e-08,1.4745582826237078e-08
1678,ETH,1052.0,2.7642943412195447e-09,2.3383397741616586e-09
1679,ETH,1053.0,3.4741818977757612e-09,2.938839613822546e-09
1680,ETH,2511.0,1.394665073482024e-11,1.2552985982729035e-11
1681,ETH,2514.0,1.9448079753994332e-11,1.7504666689140676e-11
1682,ETH,2555.0,1.9250361993709163e-11,1.642741462945411e-11
1683,ETH,2731.0,4.764448761466214e-08,4.030287178454588e-08
1684,ETH,2735.0,2.0257000704984355e-08,1.713556684154991e-08
1685,ETH,2805.0,7.030304766814107e-10,6.327778537666814e-10
1686,ETH,2903.0,1.1712435722607948e-11,9.994878953392507e-12
1687,ETH,2905.0,1.4189785781947994e-12,1.2771824963968082e-12
1688,ETH,2907.0,5.3788273309984425e-12,4.057457202707746e-12
1690,ETH,2913.0,9.805045869768853e-12,8.367196108631418e-12
1691,ETH,2918.0,2.9615636042099906e-10,2.0374771921882776e-10
1692,ETH,2919.0,2.169847287419489e-10,1.4927973697286625e-10
1694,GHA,960.0,2.1982690738876964e-08,1.9023310968387414e-08
1695,GHA,976.0,2.5450176132216102e-08,2.152851750335879e-08
1696,GHA,1016.0,4.0718423248514226e-08,3.444405583131336e-08
1697,GHA,1049.0,2.0507677049986976e-09,1.7347616064825636e-09
1698,GHA,1052.0,2.3750093002510314e-09,2.0090402921169096e-09
1699,GHA,1053.0,3.873972003482911e-09,3.2770254182614786e-09
1700,GHA,2514.0,3.1406300850313346e-11,2.8267923377406915e-11
1701,GHA,2731.0,2.1770969474856037e-08,1.8416245725357812e-08
1702,GHA,2735.0,6.505360136759342e-11,5.5029387161133553e-11
1703,GHA,2805.0,2.070146520989061e-10,1.8632803498327446e-10
1704,GHA,2903.0,2.5740782958719864e-12,2.1966055219525884e-12
1705,GHA,2905.0,2.991947389927889e-12,2.6929672479040253e-12
1706,GHA,2907.0,5.3959281386932665e-14,4.070357002437998e-14
1708,GHA,2913.0,4.1238887988390984e-13,3.519145832500694e-13
1709,GHA,2918.0,4.988480376445622e-11,3.4319421592831245e-11
1710,GHA,2919.0,1.7770786942442588e-12,1.2225829974069575e-12
1712,GIN,960.0,1.8302573897569267e-08,1.583862316543411e-08
1713,GIN,976.0,2.0653656505470068e-08,1.747110131090691e-08
1714,GIN,1016.0,2.0400940794312762e-08,1.7257326970691765e-08
1715,GIN,1049.0,3.021765053217764e-08,2.556136409480003e-08
1716,GIN,1052.0,7.151529152333055e-09,6.049538507393286e-09
1717,GIN,1053.0,2.187302859192458e-08,1.8502578388706505e-08
1718,GIN,2514.0,4.309877878814827e-11,3.8791992162650083e-11
1719,GIN,2731.0,3.824403766206195e-08,3.2350952304985907e-08
1720,GIN,2735.0,3.174279335534159e-10,2.685149520403209e-10
1721,GIN,2805.0,6.39484966637267e-10,5.755823369349634e-10
1722,GIN,2903.0,1.1710345494351151e-12,9.993095244272865e-13
1723,GIN,2905.0,4.567250364129915e-12,4.110852913050731e-12
1724,GIN,2907.0,1.8967092922421052e-13,1.4307610759131598e-13
1726,GIN,2913.0,5.022680904357895e-14,4.286135595491247e-14
1727,GIN,2918.0,4.121763645445076e-12,2.8356640415377315e-12
1728,GIN,2919.0,5.088502766970914e-13,3.5007549104641993e-13
1730,GMB,960.0,2.1976883179772014e-09,1.9018285241367313e-09
1731,GMB,976.0,1.3115993852001736e-08,1.1094929235453515e-08
1732,GMB,1016.0,4.4127514371678666e-08,3.732783461281604e-08
1733,GMB,1049.0,1.1113874531237996e-09,9.401319705328752e-10
1734,GMB,1052.0,1.655614535572509e-09,1.400498225345066e-09
1735,GMB,1053.0,2.2556541886637083e-09,1.90807680190081e-09
1736,GMB,2514.0,6.600743750652046e-11,5.941142812922775e-11
1737,GMB,2731.0,3.96828615568166e-08,3.356806550850774e-08
1738,GMB,2735.0,1.4797839503342397e-08,1.2517616581691636e-08
1739,GMB,2805.0,2.2375385605787893e-09,2.013945191631937e-09
1740,GMB,2903.0,6.135033898561919e-13,5.235368854381429e-13
1741,GMB,2905.0,1.8919194467244076e-12,1.7028631996849146e-12
